,Price,Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,SSD,RAM,Expandable Memory,Operating System,Touchscreen,Screen Size,Weight,max_res,gpu_brand,company,Storage,battery_back,gpu_processor
900,74990,2,2048,intel,core i5,1,16,0,windows,0,14.0,1.41,1080,nvidia,hp,512,4.5,nvidia geforce mx 450
901,61000,2,0,intel,core i5,1,8,0,windows,0,15.6,1.69,1080,none,hp,512,4.5,intel iris xe
902,48900,2,0,intel,core i3,1,8,0,windows,0,15.6,1.75,1080,none,hp,512,4.5,intel uhd
903,60390,2,0,intel,core i5,1,8,1,windows,0,15.6,1.69,1080,none,hp,512,4.5,intel iris xe
904,57899,3,0,intel,core i3,1,8,0,windows,1,14.0,1.5,1080,none,lenovo,512,5.0,intel uhd
905,53990,3,0,intel,core i3,1,8,0,windows,1,14.0,1.5,1080,none,lenovo,512,5.0,intel uhd
906,102990,2,0,apple,m1,1,8,1,mac,0,13.3,1.29,1440,none,apple,512,4.5,m1
907,54990,1,4096,amd,ryzen 5 hexa core,1,8,1,windows,0,15.6,2.15,1080,nvidia,acer,512,2.0,nvidia geforce gtx 1650
908,51990,3,0,intel,core i3,1,8,0,windows,1,14.0,1.5,1080,none,lenovo,256,5.0,intel uhd
909,55490,3,0,intel,core i3,1,8,1,windows,1,14.0,1.61,1080,none,hp,512,5.0,intel uhd
910,60870,2,2048,intel,core i5,1,8,1,windows,0,15.6,1.8,1080,nvidia,lenovo,1256,4.5,nvidia geforce mx 250
911,168998,3,0,intel,core i7,1,16,0,windows,1,14.0,1.44,2160,none,lenovo,1000,5.0,intel iris xe
912,94000,7,0,intel,core i5,1,8,0,windows,0,13.3,0.8,720,none,hp,512,6.0,intel hd
913,42090,5,0,intel,core i3,0,8,0,windows,0,14.96,0.9746666666666668,1080,none,dell,1000,5.0,intel uhd
914,99990,3,0,intel,core i7,1,16,0,windows,1,14.0,1.43,1080,none,lenovo,512,5.0,intel iris xe
915,64390,1,4096,intel,core i5,1,8,1,windows,0,15.6,2.3,1080,nvidia,lenovo,1256,2.0,nvidia geforce gtx 1650
916,51990,2,0,intel,core i5,0,8,1,windows,0,14.0,1.58,1080,none,dell,1000,4.5,intel iris xe
917,39490,5,0,intel,core i3,1,4,1,windows,0,15.0,1.83,1080,none,dell,256,5.0,intel uhd
918,37990,2,0,intel,core i3,1,8,1,windows,0,14.0,1.58,1080,none,dell,256,4.5,intel uhd
919,59990,2,2048,intel,core i7,1,8,0,windows,0,14.0,1.35,1080,nvidia,mi,512,4.5,nvidia geforce mx 350
920,63990,1,4096,intel,core i5,1,8,1,windows,0,15.6,2.3,1080,nvidia,asus,512,2.0,nvidia geforce gtx 1650 ti
921,54490,2,2048,intel,core i5,0,8,1,windows,0,15.6,1.77,1080,nvidia,hp,1000,4.5,nvidia geforce mx 350
922,53990,3,0,intel,core i3,1,8,1,windows,1,14.0,1.61,1080,none,hp,256,5.0,intel uhd
923,40990,2,0,intel,core i3,0,8,1,windows,0,14.0,1.58,1080,none,dell,1000,4.5,intel uhd
924,41490,5,0,amd,ryzen 3 dual core,1,8,1,windows,0,15.6,1.82,1080,amd,hp,1256,5.0,amd radeon vega 6
925,44990,2,0,intel,core i5,0,8,0,windows,0,15.6,1.8,1080,none,asus,1000,4.5,intel uhd
926,40090,2,0,intel,core i3,0,8,0,windows,0,15.6,1.8,1080,none,asus,1000,4.5,intel uhd
927,50990,2,0,intel,core i5,1,8,0,windows,0,15.6,1.8,1080,none,asus,1256,4.5,intel uhd
928,73990,3,4096,intel,core i5,1,8,0,windows,1,14.0,1.5,1080,none,asus,512,5.0,intel iris xe max
929,39990,5,0,intel,core i3,1,8,0,windows,0,14.0,1.3,1080,none,msi,256,5.0,intel uhd
930,44990,2,0,intel,core i3,0,8,1,windows,0,15.6,1.77,1080,none,hp,1000,4.5,intel uhd
931,47490,5,0,intel,core i3,1,8,0,windows,0,14.0,1.3,1080,none,msi,512,5.0,intel uhd
932,154990,5,4096,intel,core i7,1,16,0,windows,1,15.6,1.79,1080,nvidia,msi,1000,5.0,nvidia geforce gtx 1650 ti max-q
933,68290,3,0,intel,core i5,1,8,1,windows,1,14.0,1.72,1080,none,dell,512,5.0,intel iris xe
934,58800,3,0,intel,core i3,1,4,1,windows,1,14.0,1.72,1080,none,dell,512,5.0,intel uhd
935,115990,2,0,intel,core i5,1,8,1,windows,0,13.3,1.2,1080,none,dell,512,4.5,intel iris xe
936,62490,1,4096,amd,ryzen 5 hexa core,1,8,1,windows,0,15.6,2.2,1080,nvidia,lenovo,1256,2.0,nvidia geforce gtx 1650
937,56992,5,2048,intel,core i5,1,8,1,windows,0,15.6,2.2,1080,amd,dell,1256,5.0,amd radeon 520
938,39990,2,0,intel,core i3,0,8,1,windows,0,15.6,1.77,1080,none,hp,1000,4.5,intel uhd
939,62890,2,0,intel,core i5,1,8,0,windows,0,14.0,1.35,1080,none,vaio,512,4.5,intel uhd 620
940,86990,2,2048,intel,core i5,1,8,1,windows,0,14.5,1.35,1440,nvidia,dell,512,4.5,nvidia geforce mx 350
941,159990,1,8192,intel,core i7,1,16,1,windows,0,15.6,2.1,1080,nvidia,acer,2000,2.0,nvidia geforce rtx 2070 max-q
942,75999,1,4096,amd,ryzen 5 hexa core,1,8,1,windows,0,15.6,2.2,1080,nvidia,lenovo,512,2.0,nvidia geforce gtx 1650 ti
943,50001,2,0,intel,core i5,1,8,1,windows,0,15.6,1.85,1080,none,lenovo,512,4.5,intel uhd
944,45990,5,2048,intel,core i5,0,8,1,windows,0,15.6,1.9,1080,nvidia,acer,1000,5.0,nvidia geforce gtx mx 330
945,41990,2,0,intel,core i3,1,4,0,windows,0,14.0,1.4,1080,none,asus,256,4.5,intel uhd
946,59990,2,0,intel,core i5,1,8,0,windows,0,14.0,1.4,1080,none,asus,512,4.5,intel iris xe
947,57990,2,0,amd,ryzen 7 quad core,1,8,0,windows,0,15.6,1.77,1080,amd,vaio,512,4.5,amd radeon rx vega 10
948,127990,2,0,apple,m1,1,8,1,mac,0,13.3,1.4,1440,none,apple,512,4.5,m1
949,107990,2,0,apple,m1,1,8,1,mac,0,13.3,1.4,1440,none,apple,256,4.5,m1
950,49590,2,0,amd,ryzen 5 quad core,1,8,0,windows,0,15.6,1.77,1080,amd,vaio,512,4.5,amd radeon vega 8
951,87990,2,0,apple,m1,1,8,1,mac,0,13.3,1.29,1440,none,apple,256,4.5,m1
952,56990,2,0,amd,ryzen 7 quad core,1,8,0,windows,0,15.6,1.77,1080,amd,vaio,512,4.5,amd radeon rx vega 10
953,50990,2,0,amd,ryzen 5 quad core,1,8,0,windows,0,15.6,1.77,1080,amd,vaio,512,4.5,amd radeon vega 8
954,87990,2,0,apple,m1,1,8,1,mac,0,13.3,1.29,1440,none,apple,256,4.5,m1
955,107990,2,0,apple,m1,1,8,1,mac,0,13.3,1.4,1440,none,apple,256,4.5,m1
956,104990,2,0,apple,m1,1,8,1,mac,0,13.3,1.29,1440,none,apple,512,4.5,m1
957,127990,2,0,apple,m1,1,8,1,mac,0,13.3,1.4,1440,none,apple,512,4.5,m1
958,54990,2,0,amd,ryzen 7 octa core,1,8,0,windows,0,14.0,1.39,1080,amd,lenovo,512,4.5,amd radeon
959,51990,1,4096,amd,ryzen 5 quad core,1,8,1,windows,0,15.6,2.15,1080,nvidia,acer,512,2.0,nvidia geforce gtx 1650 ti
960,51990,1,4096,amd,ryzen 5 quad core,1,8,1,windows,0,15.6,2.15,1080,nvidia,acer,512,2.0,nvidia geforce gtx 1650 ti
961,93190,2,0,intel,core i7,1,16,0,windows,1,14.0,1.05,1080,none,acer,1000,4.5,intel iris xe
962,65990,3,0,intel,core i5,1,8,1,windows,1,13.6,1.35,1080,none,lenovo,512,5.0,intel uhd
963,60990,2,2048,intel,core i5,1,8,0,windows,0,14.0,1.6,1080,nvidia,lenovo,512,4.5,nvidia geforce mx 230
964,42490,5,0,intel,core i3,0,8,1,windows,0,15.6,1.83,1080,none,dell,1000,5.0,intel uhd
965,150490,1,8192,intel,core i7,1,16,1,windows,0,15.6,2.5,1080,nvidia,acer,2000,2.0,nvidia geforce rtx 2070 max-q
966,97699,1,4096,intel,core i7,1,8,0,windows,0,15.6,2.0686486486486486,1080,nvidia,lenovo,1256,2.0,nvidia geforce gtx 1650 ti
967,72000,7,0,intel,core i5,1,8,0,ubuntu,0,14.0,1.8,1080,none,dell,512,6.0,intel uhd
968,30990,2,0,intel,core i3,0,4,1,windows,0,15.6,1.85,1080,none,lenovo,1000,4.5,intel hd 620
969,244801,2,2048,intel,core i7,1,16,0,windows,0,14.0,1.55,1080,nvidia,lenovo,512,4.5,nvidia quadro p520
970,272000,2,4096,intel,core i7,1,16,0,windows,0,15.6,2.5,1080,nvidia,lenovo,1000,4.5,nvidia quadro t2000
971,48490,7,0,intel,core i5,0,8,0,windows,0,15.6,0.8,720,none,hp,1000,6.0,intel hd
972,50100,2,0,intel,core i5,0,4,0,dos,0,14.0,1.4946421471172964,1080,none,lenovo,1000,4.5,intel uhd 620
973,86990,2,2048,intel,core i5,1,8,0,windows,0,14.0,1.6,1080,nvidia,asus,512,4.5,nvidia geforce mx 110
974,58999,2,0,intel,core i5,1,8,0,windows,0,14.0,1.6,1080,none,lenovo,1256,4.5,intel uhd
975,54999,2,2048,intel,core i5,1,8,0,windows,0,14.0,1.35,1080,nvidia,mi,512,4.5,nvidia geforce mx 350
976,53690,2,0,intel,core i5,1,8,0,windows,0,14.0,1.5,1080,none,asus,512,4.5,intel uhd 620
977,142990,2,0,intel,core i7,1,16,0,windows,0,14.0,1.25,2160,none,lenovo,1000,4.5,intel iris plus
978,214760,2,0,intel,core i7,1,16,0,windows,0,14.0,1.09,1440,none,lenovo,512,4.5,intel uhd
979,53990,2,0,intel,core i5,1,8,1,windows,0,14.0,1.1,1080,none,nokia,512,4.5,intel uhd
980,239759,3,0,intel,core i7,1,16,0,windows,1,13.3,1.49,1080,nvidia,hp,512,5.0,nvidia geforce gtx
981,85555,3,0,amd,ryzen 5 hexa core,1,8,0,windows,1,13.3,1.32,1080,amd,hp,512,5.0,amd radeon
982,26990,8,0,intel,celeron dual core,0,4,0,chrome,1,14.0,1.46,720,none,hp,64,8.0,intel uhd 605
983,44590,5,0,intel,core i3,0,4,0,windows,0,14.0,1.6,720,amd,lenovo,1000,5.0,amd radeon r4
